   141.26	   670.62	ND
   141.26	   707.60	F
   140.09	   660.38	KOKI
   138.93	   673.87	N
   138.00	   162.59	GP17
   138.00	   239.12	SD_MOSI
   138.00	   660.38	LDCD
   136.38	    36.75	GND
   136.38	    52.80	1
   136.38	   114.21	40
   136.38	   126.77	GND
   136.38	   660.38	CSRSG
   134.52	    59.55	GND
   134.52	   102.58	GND
   134.52	   162.59	GP18
   134.52	   239.12	SD_CS
   134.52	   571.52	AGNDAGND
   134.52	   602.23	AGND
   134.52	   660.38	SALDA
   132.89	    36.75	VCC3V32
   132.89	   114.21	39
   132.89	   126.77	GP1
   131.27	    59.55	3V3
   131.27	   104.44	IO1
   131.27	   162.59	GP8
   131.27	   239.12	SD_D2
   131.27	   705.97	AGND
   131.27	   733.19	AGND
   129.41	    36.75	ESP_EN3
   129.41	   114.21	38
   129.41	   126.77	GP2
   128.02	   658.75	67890
   127.78	    59.55	EN
   127.78	   104.44	IO2
   127.78	   162.59	GP19
   127.78	   363.34	ESP_USB_N
   126.16	    36.75	GP4
   126.16	    52.80	4
   126.16	   114.21	37
   126.16	   126.77	GP43
   126.16	   672.25	1
   124.30	    59.55	IO4
   124.30	   101.19	TXD0
   124.30	   162.59	GP20
   124.30	   363.34	ESP_USB_P
   122.68	    36.75	GP5
   122.68	    52.80	5
   122.68	   114.21	36
   122.68	   126.77	GP44
   122.68	   431.26	KEY
   122.68	   454.95	 & LED
   121.05	    59.55	IO5
   121.05	   101.19	RXD0
   121.05	   162.59	GP3
   121.05	   184.69	EPD_BUSY
   119.19	    36.75	GP6
   119.19	    52.80	6
   119.19	   114.21	35
   119.19	   126.77	GP42
   117.57	    59.55	IO6
   117.57	   102.81	IO42
   117.57	   162.59	GP46
   117.57	   184.69	EPD_RST
   117.57	   463.36	C15
   117.57	   587.81	I2S_MCLK
   115.94	    36.75	GP7
   115.94	    52.80	7
   115.94	   114.21	34
   115.94	   126.77	GP41
   114.08	    59.55	IO7
   114.08	   102.81	IO41
   114.08	   162.59	GP9
   114.08	   184.69	EPD_DC
   114.08	   587.81	I2S_SCLK
   114.08	   733.42	0.1uF
   112.46	    36.75	GP15
   112.46	    52.80	8
   112.46	   114.21	33
   112.46	   126.77	GP40
   110.83	    59.55	IO15
   110.83	   102.81	IO40
   110.83	   162.59	GP10
   110.83	   184.69	EPD_CS
   110.83	   587.81	I2S_DSOUT
   110.83	   705.28	OUTP
   110.83	   732.49	C111
   110.83	   749.47	R75
   110.83	   764.82	150KPA_INL+
   109.20	    36.75	GP16
   109.20	    52.80	9
   109.20	   114.21	32
   109.20	   126.77	GP39
   109.20	   668.52	AGND
   107.81	   463.36	100nF
   107.35	    59.55	IO16
   107.35	   102.81	IO39
   107.35	   162.59	GP11
   107.35	   184.69	EPD_SCK
   107.35	   587.81	I2S_LRCK
   107.35	   725.75	C112
   105.72	    36.75	GP17
   105.72	    51.17	10
   105.72	   114.21	31
   105.72	   126.77	GP38
   104.09	    59.55	IO17
   104.09	   102.81	IO38
   104.09	   162.59	GP12
   104.09	   184.69	EPD_DIN
   104.09	   587.81	I2S_DSDIN
   102.24	    36.75	GP18
   102.24	    51.41	11
   102.24	   114.21	30
   102.24	   126.77	GP37
   102.24	   434.75	ESP_BOOT
   100.61	    59.55	IO18
   100.61	   102.81	IO37
   100.61	   162.59	GP13
   100.61	   210.28	I2S_MCLK
   100.61	   493.37	GND
   100.61	   725.75	22pF
    98.98	    36.75	GP8
    98.98	    51.17	12
    98.98	   114.21	29
    98.98	   126.77	GP36
    98.98	   461.03	Key2
    97.13	    59.55	IO8
    97.13	   102.81	IO36
    97.13	   162.59	GP14
    97.13	   210.28	I2S_SCLK
    95.50	    36.75	GP19
    95.50	    51.17	13
    95.50	   114.21	28
    95.50	   126.77	GP35
    95.50	   616.88	C103
    95.50	   631.31	C104
    95.50	   645.73	C105
    93.88	    59.55	IO19
    93.88	   102.81	IO35
    93.88	   162.59	GP21
    93.88	   210.28	I2S_DSOUT
    92.02	    36.75	GP20
    92.02	    51.17	14
    92.02	   114.21	27
    92.02	   126.77	GP0
    91.55	   614.09	2
    91.55	   628.51	2
    91.55	   642.94	2
